2019-01-13 19:13:36 ===== Starting: ShallowRedExperiment =====
2019-01-13 19:13:47 Run
2019-01-13 19:41:02 id = 1 (machine1); Seed = 145; Done (0)
2019-01-13 19:41:02 id = 1 (machine1); Seed = 148; Starting new sample
2019-01-13 19:41:03 id = 5 (machine1); Seed = 142; Done (0)
2019-01-13 19:41:03 id = 5 (machine1); Seed = 149; Starting new sample
2019-01-13 19:41:23 id = 2 (machine1); Seed = 144; Done (0)
2019-01-13 19:41:23 id = 2 (machine1); Seed = 150; Starting new sample
2019-01-13 19:41:26 id = 4 (machine1); Seed = 146; Done (0)
2019-01-13 19:41:26 id = 4 (machine1); Seed = 151; Starting new sample
2019-01-13 19:41:48 id = 3 (machine1); Seed = 141; Done (0)
2019-01-13 19:41:48 id = 3 (machine1); Seed = 152; Starting new sample
2019-01-13 19:41:51 id = 1 (machine1); Seed = 148; Done (0)
2019-01-13 19:41:51 id = 1 (machine1); Seed = 153; Starting new sample
2019-01-13 19:42:00 id = 0 (machine1); Seed = 147; Done (0)
2019-01-13 19:42:00 id = 0 (machine1); Seed = 154; Starting new sample
2019-01-13 19:42:01 id = 5 (machine1); Seed = 149; Done (0)
2019-01-13 19:42:01 id = 5 (machine1); Seed = 155; Starting new sample
2019-01-13 19:42:07 id = 2 (machine1); Seed = 150; Done (0)
2019-01-13 19:42:07 id = 2 (machine1); Seed = 156; Starting new sample
2019-01-13 19:42:36 id = 4 (machine1); Seed = 151; Done (0)
2019-01-13 19:42:37 id = 4 (machine1); Seed = 157; Starting new sample
2019-01-13 19:43:04 id = 2 (machine1); Seed = 156; Done (0)
2019-01-13 19:43:04 id = 2 (machine1); Seed = 158; Starting new sample
2019-01-13 19:43:14 id = 0 (machine1); Seed = 154; Done (0)
2019-01-13 19:43:14 id = 0 (machine1); Seed = 159; Starting new sample
2019-01-13 19:43:19 id = 3 (machine1); Seed = 152; Done (0)
2019-01-13 19:43:19 id = 3 (machine1); Seed = 160; Starting new sample
2019-01-13 19:43:26 id = 5 (machine1); Seed = 155; Done (0)
2019-01-13 19:43:26 id = 5 (machine1); Seed = 161; Starting new sample
2019-01-13 19:43:49 id = 4 (machine1); Seed = 157; Done (0)
2019-01-13 19:43:49 id = 4 (machine1); Seed = 162; Starting new sample
2019-01-13 19:43:51 id = 2 (machine1); Seed = 158; Done (0)
2019-01-13 19:43:51 id = 2 (machine1); Seed = 163; Starting new sample
2019-01-13 19:43:58 id = 0 (machine1); Seed = 159; Done (0)
2019-01-13 19:43:58 id = 0 (machine1); Seed = 164; Starting new sample
2019-01-13 19:44:15 id = 3 (machine1); Seed = 160; Done (0)
2019-01-13 19:44:15 id = 3 (machine1); Seed = 165; Starting new sample
2019-01-13 19:44:31 id = 1 (machine1); Seed = 153; Done (0)
