2019-01-11 19:30:44 ===== Starting: ShallowRedExperiment =====
2019-01-11 19:36:21 Run
2019-01-11 22:02:49 id = 5 (machine1); Seed = 168; Starting new sample
2019-01-11 22:03:40 id = 0 (machine1); Seed = 166; Done (0)
2019-01-11 22:03:40 id = 0 (machine1); Seed = 169; Starting new sample
2019-01-11 22:04:15 id = 2 (machine1); Seed = 163; Done (1)
2019-01-11 22:04:15 id = 2 (machine1); Seed = 170; Starting new sample
2019-01-11 22:04:53 id = 1 (machine1); Seed = 164; Done (0)
2019-01-11 22:04:53 id = 1 (machine1); Seed = 171; Starting new sample
2019-01-11 22:05:44 id = 3 (machine1); Seed = 165; Done (0)
2019-01-11 22:05:44 id = 3 (machine1); Seed = 172; Starting new sample
2019-01-11 22:06:50 id = 2 (machine1); Seed = 170; Done (0)
2019-01-11 22:06:50 id = 2 (machine1); Seed = 173; Starting new sample
2019-01-11 22:08:04 id = 5 (machine1); Seed = 168; Done (1)
2019-01-11 22:08:04 id = 5 (machine1); Seed = 174; Starting new sample
2019-01-11 22:08:14 id = 1 (machine1); Seed = 171; Done (0)
2019-01-11 22:08:14 id = 1 (machine1); Seed = 175; Starting new sample
2019-01-11 22:09:41 id = 2 (machine1); Seed = 173; Done (0)
2019-01-11 22:09:41 id = 2 (machine1); Seed = 176; Starting new sample
2019-01-11 22:10:51 id = 1 (machine1); Seed = 175; Done (0)
2019-01-11 22:10:51 id = 1 (machine1); Seed = 177; Starting new sample
2019-01-11 22:11:06 id = 0 (machine1); Seed = 169; Done (0)
2019-01-11 22:11:06 id = 0 (machine1); Seed = 178; Starting new sample
2019-01-11 22:12:22 id = 2 (machine1); Seed = 176; Done (1)
2019-01-11 22:12:22 id = 2 (machine1); Seed = 179; Starting new sample
2019-01-11 22:13:30 id = 5 (machine1); Seed = 174; Done (0)
2019-01-11 22:13:30 id = 5 (machine1); Seed = 180; Starting new sample
2019-01-11 22:14:02 id = 0 (machine1); Seed = 178; Done (0)
2019-01-11 22:14:02 id = 0 (machine1); Seed = 181; Starting new sample
2019-01-11 22:15:03 id = 1 (machine1); Seed = 177; Done (0)
2019-01-11 22:15:03 id = 1 (machine1); Seed = 182; Starting new sample
2019-01-11 22:17:32 id = 4 (machine1); Seed = 167; Done (0)
2019-01-11 22:17:32 id = 4 (machine1); Seed = 183; Starting new sample
2019-01-11 22:17:54 id = 1 (machine1); Seed = 182; Done (0)
2019-01-11 22:17:54 id = 1 (machine1); Seed = 184; Starting new sample
2019-01-11 22:20:11 id = 1 (machine1); Seed = 184; Done (1)
2019-01-11 22:20:11 id = 1 (machine1); Seed = 185; Starting new sample
2019-01-11 22:20:13 id = 2 (machine1); Seed = 179; Done (0)
2019-01-11 22:20:13 id = 2 (machine1); Seed = 186; Starting new sample
2019-01-11 22:22:35 id = 2 (machine1); Seed = 186; Done (0)
2019-01-11 22:22:35 id = 2 (machine1); Seed = 187; Starting new sample
2019-01-11 22:24:22 id = 3 (machine1); Seed = 172; Done (1)
